model,seed_index,K_slope,K_positive,R_slope,R_positive,Phi_slope,Phi_positive,all_three_slopes_positive
M3_ODC,0,-0.05303494982780392,False,0.9252252529190144,True,0.0062390625000000016,True,False
M3_ODC,1,0.018593446796255082,True,0.8720016393812671,True,0.005849869791666666,True,True
M3_ODC,2,0.09489782952545887,True,0.8185944817005583,True,0.005031250000000001,True,True
M3_ODC,3,0.0035739655776788454,True,0.8894372181688189,True,0.005786783854166667,True,True
M3_ODC,4,-0.007555771738973999,False,0.8502170369550646,True,0.003110872395833332,True,False
M3_ODC,5,0.06765390684297931,True,0.7794620479421477,True,0.004971223958333333,True,True
M3_ODC,6,0.03401233114381489,True,0.8321839684641028,True,0.00641875,True,True
M3_ODC,7,0.029956833046009077,True,0.8295549681114691,True,0.0051406249999999985,True,True
M3_ODC,8,0.046871718040979254,True,0.8540508462439664,True,0.004894596354166666,True,True
M3_ODC,9,0.015801748373592623,True,0.8143986975409349,True,0.004757421875,True,True
M3_ODC,10,0.0008403704428629719,True,0.8246840330269597,True,0.004478645833333334,True,True
M3_ODC,11,0.05254792551045677,True,0.8835109692578682,True,0.0037086588541666685,True,True
M3_ODC,12,0.011792311492206366,True,0.8792661341156336,True,0.005811002604166669,True,True
M3_ODC,13,0.02945817474476868,True,0.892817075191457,True,0.005124804687499996,True,True
M3_ODC,14,0.11324635897294218,True,0.7974258048437857,True,0.005434244791666666,True,True
M3_ODC,15,0.05076613846125196,True,0.9337075675267265,True,0.0051094401041666656,True,True
M3_ODC,16,0.04100967551791931,True,0.8999429163039694,True,0.006181770833333333,True,True
M3_ODC,17,-0.033249917585428224,False,0.9423214967596012,True,0.004602083333333332,True,False
M3_ODC,18,0.0656336665417987,True,0.821478864375582,True,0.004363085937499998,True,True
M3_ODC,19,0.07253269179415042,True,0.8882166957680706,True,0.003284830729166665,True,True
M2p_HMM,0,0.002819331005513902,True,1.0998148721446934,True,0.00023639322916666657,True,True
M2p_HMM,1,0.002695857640925445,True,1.1379912463534758,True,0.00023001302083333337,True,True
M2p_HMM,2,-0.004907350899096828,False,1.0826851720043633,True,0.00013632812499999997,True,False
M2p_HMM,3,-0.0006785410563194632,False,1.1016765174838223,True,0.00015546874999999995,True,False
M2p_HMM,4,0.0024510964898699075,True,1.110452169635373,True,0.0001595052083333333,True,True
M2p_HMM,5,-0.005705794392507235,False,1.1247316272340897,True,0.00015162760416666666,True,False
M2p_HMM,6,-0.007372478909140981,False,1.1215974590634006,True,9.791666666666668e-05,True,False
M2p_HMM,7,0.007890763670122645,True,1.077019295744179,True,0.00017532552083333338,True,True
M2p_HMM,8,0.004489734723635213,True,1.1164891187882677,True,0.00013723958333333334,True,True
M2p_HMM,9,-0.0015222870095594947,False,1.076324121873307,True,7.799479166666666e-05,True,False
M2p_HMM,10,0.012891948172268202,True,1.099866165725026,True,0.00013072916666666666,True,True
M2p_HMM,11,-0.0011466927277471264,False,1.0925914247622823,True,0.0001408203125,True,False
M2p_HMM,12,0.005990224480329191,True,1.1027749384413637,True,0.0001870442708333333,True,True
M2p_HMM,13,-0.0008175217222466013,False,1.1555616328844684,True,0.00012278645833333334,True,False
M2p_HMM,14,0.004314088587134741,True,1.0924476710472362,True,0.00012688802083333337,True,True
M2p_HMM,15,-0.005818628832411519,False,1.0847795118864636,True,0.0001416015625,True,False
