slope,rho,p_linregress,p_permutation,model,observable
0.03276742268364596,0.7833333333333333,0.009051419822316043,0.015396920615876825,M3_ODC,K
0.8614248857298501,1.0,2.144756567743041e-06,0.0001999600079984003,M3_ODC,R
0.0050149511718750005,1.0,4.429905234434521e-07,0.0001999600079984003,M3_ODC,Phi
0.0013962952229635097,-0.049999999999999996,0.503957113672798,0.9042191561687662,M2p_HMM,K
1.1010554725594501,1.0,4.023061538896546e-12,0.0001999600079984003,M2p_HMM,R
0.00014586263020833332,1.0,1.908792972745817e-07,0.0001999600079984003,M2p_HMM,Phi
0.0007335026784156541,0.5666666666666667,0.1355594223581073,0.11897620475904819,M4_CTRW,K
3.5952226224308124,1.0,2.617007234386399e-05,0.0001999600079984003,M4_CTRW,R
1.598356481481481e-05,0.9833333333333333,6.768174972492281e-05,0.0001999600079984003,M4_CTRW,Phi
0.00809420781009773,0.7333333333333334,0.019786780649845695,0.028794241151769647,M5_AR1,K
0.5856065673569054,1.0,5.046478495836589e-05,0.0003999200159968006,M5_AR1,R
-0.0049515530092592575,-0.9833333333333333,5.932571736884267e-06,0.0001999600079984003,M5_AR1,Phi
