model,Pi_B,seed_index,seed,K,R,Phi
M3_ODC,0.5,6,1050006,0.4264934568759622,1.2531761545358349,0.004943750000000001
M3_ODC,0.5,7,1050007,0.48504465845045397,1.2655164567776271,0.006431250000000001
M3_ODC,0.5,8,1050008,0.45218106427501714,1.2326217679677962,0.006694921875
M3_ODC,0.5,9,1050009,0.4650954068873261,1.2493369408254569,0.0052574218749999995
M3_ODC,0.5,10,1050010,0.4411888092338173,1.2499991707197247,0.006532812499999999
M3_ODC,0.5,11,1050011,0.4262577251754793,1.2559219818888698,0.005023437500000001
M3_ODC,0.5,12,1050012,0.4377703663534671,1.279884532980417,0.005335546875
M3_ODC,0.5,13,1050013,0.4677466043660687,1.2456952831233783,0.005504296875
M3_ODC,0.5,14,1050014,0.4250791580648159,1.2445690540297918,0.004976171874999999
M3_ODC,0.5,15,1050015,0.4670710635336253,1.2595715202980073,0.005585546875000001
M3_ODC,0.5,16,1050016,0.4923434442656578,1.2371460704828314,0.004601171875
M3_ODC,0.5,17,1050017,0.4617123011693084,1.256477728189446,0.004671875
M3_ODC,0.5,18,1050018,0.4740574033714937,1.233999581404125,0.005235937499999999
M3_ODC,0.5,19,1050019,0.40312599734531596,1.246214269089924,0.006398046875000002
M3_ODC,0.6000000000000001,0,1060000,0.5144614933801602,1.347719877186094,0.007241796875000002
M3_ODC,0.6000000000000001,1,1060001,0.4570101522360729,1.3422732235382548,0.005785546875
M3_ODC,0.6000000000000001,2,1060002,0.4585403380198594,1.3576084559923542,0.0052171875
M3_ODC,0.6000000000000001,3,1060003,0.460019840689507,1.3296713960954583,0.006160546875000001
M3_ODC,0.6000000000000001,4,1060004,0.4544329749961199,1.3357700617449721,0.005904296875000001
M3_ODC,0.6000000000000001,5,1060005,0.5132844376412213,1.2841175838862395,0.0048792968749999995
M3_ODC,0.6000000000000001,6,1060006,0.49532191904245687,1.282945908665872,0.0065640625000000005
M3_ODC,0.6000000000000001,7,1060007,0.4458689288372148,1.3927572575899378,0.006569921875
M3_ODC,0.6000000000000001,8,1060008,0.42969544735643533,1.3405970780096663,0.005363671875000001
M3_ODC,0.6000000000000001,9,1060009,0.47976576365668266,1.3431087610041532,0.0061792968749999995
M3_ODC,0.6000000000000001,10,1060010,0.47645723263068296,1.3402585187712441,0.005501562500000001
M3_ODC,0.6000000000000001,11,1060011,0.4750122067890219,1.3309143325256596,0.007053125000000002
M3_ODC,0.6000000000000001,12,1060012,0.40748410415460695,1.3360136760725088,0.0064312499999999995
M3_ODC,0.6000000000000001,13,1060013,0.468893086619833,1.3190266854010195,0.0068324218749999995
M3_ODC,0.6000000000000001,14,1060014,0.4652806496863665,1.3595672176192688,0.005444921875
M3_ODC,0.6000000000000001,15,1060015,0.5192404035894946,1.3200653721780642,0.0054203125000000015
M3_ODC,0.6000000000000001,16,1060016,0.45249865819084467,1.3735397894294266,0.0056734375000000005
M3_ODC,0.6000000000000001,17,1060017,0.44824570666782704,1.3154166658420439,0.005482812500000001
M3_ODC,0.6000000000000001,18,1060018,0.4872972050812502,1.3264580037531657,0.005039062500000001
M3_ODC,0.6000000000000001,19,1060019,0.5396018485201921,1.3534578269386115,0.005426171874999998
M3_ODC,0.7000000000000001,0,1070000,0.48215441477220533,1.4179014511858714,0.008992187500000002
M3_ODC,0.7000000000000001,1,1070001,0.514051850869032,1.473665810740157,0.008134375
M3_ODC,0.7000000000000001,2,1070002,0.43971937542461326,1.4228272692561417,0.006363671875
M3_ODC,0.7000000000000001,3,1070003,0.4725479015490085,1.4346103698943256,0.006623046874999999
M3_ODC,0.7000000000000001,4,1070004,0.45985336146164446,1.4703046079072641,0.006194921875
M3_ODC,0.7000000000000001,5,1070005,0.47889775765639825,1.4655028136227208,0.006857421875
M3_ODC,0.7000000000000001,6,1070006,0.46649122079090355,1.4326080625616577,0.006679296875
M3_ODC,0.7000000000000001,7,1070007,0.49944409478446833,1.4679018091782872,0.0061421875
