model,Pi_B,observable,n,mean,sd,ci95_low,ci95_high
M2p_HMM,0.7000000000000001,Phi,20,9.525390625000002e-05,3.606493669187027e-05,7.944775084073934e-05,0.00011106006165926069
M2p_HMM,0.8,K,20,0.8740697623843168,0.00478092528260019,0.8719744294945775,0.8761650952740561
M2p_HMM,0.8,R,20,1.9233274734804398,0.0229332463263222,1.9132765351252805,1.933378411835599
M2p_HMM,0.8,Phi,20,0.00011566406250000002,3.948718566215209e-05,9.835804034937751e-05,0.00013297008465062253
M2p_HMM,0.9,K,20,0.8779939224723726,0.0037697162953899037,0.8763417714614661,0.8796460734832792
M2p_HMM,0.9,R,20,2.036798681292449,0.0243250147865339,2.026137773515639,2.0474595890692586
M2p_HMM,0.9,Phi,20,0.00012224609374999999,4.0114028423892874e-05,0.00010466534564619208,0.0001398268418538079
M3_ODC,0.1,K,20,0.44820732152874554,0.0335617370706707,0.43349824172427864,0.46291640133321243
M3_ODC,0.1,R,20,1.0147557470578268,0.004587252015493929,1.0127452952198597,1.016766198895794
M3_ODC,0.1,Phi,20,0.0037070117187499993,0.0007814843036295494,0.0033645111216021066,0.004049512315897892
M3_ODC,0.2,K,20,0.44800171985143455,0.03066421466411061,0.4345625352321775,0.4614409044706916
M3_ODC,0.2,R,20,1.066951084822351,0.00538493275273122,1.064591033987234,1.0693111356574678
M3_ODC,0.2,Phi,20,0.00460310546875,0.0009120385726263679,0.004203386940437091,0.00500282399706291
M3_ODC,0.30000000000000004,K,20,0.4587227555184491,0.022646330445950016,0.4487975635921079,0.4686479474447903
M3_ODC,0.30000000000000004,R,20,1.1192602176726578,0.006846893451357041,1.116259434311039,1.1222610010342766
M3_ODC,0.30000000000000004,Phi,20,0.004678691406249999,0.0006945163389198255,0.004374306200169433,0.004983076612330566
M3_ODC,0.4,K,20,0.45149177814795316,0.03293986976761531,0.43705524370575904,0.4659283125901473
M3_ODC,0.4,R,20,1.1856442860485277,0.009437168498009489,1.1815082645943007,1.1897803075027547
M3_ODC,0.4,Phi,20,0.00534908203125,0.0011673721623882381,0.0048374586232623595,0.00586070543923764
M3_ODC,0.5,K,20,0.45253933912426325,0.025669443921614153,0.44128920929980703,0.4637894689487195
M3_ODC,0.5,R,20,1.254306098993273,0.018146404844671078,1.2463530864164094,1.2622591115701367
M3_ODC,0.5,Phi,20,0.005659941406250001,0.0006972214296471132,0.005354370641886136,0.005965512170613865
M3_ODC,0.6000000000000001,K,20,0.4724206198892925,0.0321712826248866,0.45832093361426207,0.48652030616432296
M3_ODC,0.6000000000000001,R,20,1.3365643846122008,0.02600313430755338,1.3251680085280106,1.347960760696391
M3_ODC,0.6000000000000001,Phi,20,0.00590853515625,0.0006848682817107661,0.0056083783976764055,0.006208691914823595
M3_ODC,0.7000000000000001,K,20,0.4775211412137848,0.024723581100624146,0.46668555404809275,0.48835672837947686
M3_ODC,0.7000000000000001,R,20,1.4469789710559593,0.033326991740475105,1.4323727729285731,1.4615851691833455
M3_ODC,0.7000000000000001,Phi,20,0.00684033203125,0.0008919842239778259,0.006449402708754324,0.007231261353745676
M3_ODC,0.8,K,20,0.4684166454109652,0.026417347120055036,0.4568387325576176,0.47999455826431286
M3_ODC,0.8,R,20,1.5936556931705514,0.05301270604500368,1.5704218503505343,1.6168895359905686
M3_ODC,0.8,Phi,20,0.0072647265625,0.00104123357301802,0.006808385828754236,0.007721067296245763
M3_ODC,0.9,K,20,0.4674158581015638,0.02754040626667768,0.4553457428756743,0.47948597332745324
M3_ODC,0.9,R,20,1.7102752180588827,0.05099155086633989,1.687927185551889,1.7326232505658765
M3_ODC,0.9,Phi,20,0.0080125390625,0.0009635404054231022,0.0075902488607636235,0.008434829264236379
M4_CTRW,0.1,K,20,0.9997026889533351,0.0026533866056484253,0.998539791000455,1.0008655869062153
M4_CTRW,0.1,R,20,1.1205409509210862,0.09791027494973463,1.0776298809463591,1.1634520208958132
M4_CTRW,0.1,Phi,20,1.0125e-06,1.0988902119209867e-06,5.308901301217627e-07,1.4941098698782374e-06
M4_CTRW,0.2,K,20,1.0001811373577474,0.0026168980974319122,0.9990342311986821,1.0013280435168128
M4_CTRW,0.2,R,20,1.5343738120808559,0.7213858762818284,1.2182125120354692,1.8505351121262426
